Département,Ville ,code postal,population,superficie
1,THEZILLIEU,1110,300,26.25
1,SAINT-ETIENNE-SUR-REYSSOUZE,1190,500,13.82
1,SOUCLIN,1150,300,13.19
1,SAINT-JUST,1250,900,3.38
1,CIVRIEUX,1390,1300,19.76
1,ARGIS,1230,400,7.84
1,TALISSIEU,1510,500,4.8
1,BIRIEUX,1330,200,15.83
1,SAINT-JULIEN-SUR-VEYLE,1540,700,9.84
1,THOIRY,1710,4900,28.93
1,LAIZ,1290,1100,10.31
1,CRESSIN-ROCHEFORT,1350,400,7.93
1,SAINT-CHAMP,1300,100,5.14
1,SAINT-GEORGES-SUR-RENON,1400,200,5.66
1,LANTENAY,1430,300,6.59
1,VERNOUX,1560,200,10.2
1,CORMARANCHE-EN-BUGEY,1110,900,18.92
1,SAINTE-EUPHEMIE,1600,1400,4.61
1,BEAUPONT,1270,600,14.07
1,BRENS,1300,1000,6.9
1,RAMASSE,1250,300,9.86
1,DIVONNE-LES-BAINS,1220,7800,33.88
1,LEAZ,1200,500,11.4
1,VILLES,1200,400,9.21
1,SAINT-JULIEN-SUR-REYSSOUZE,1560,600,7.52
1,GROSLEE,1680,400,7.27
1,VANDEINS,1660,600,9.4
1,VERJON,1270,300,5.11
1,SAINT-ANDRE-SUR-VIEUX-JONC,1240,1000,24.22
1,SAINT-ANDRE-D'HUIRIAT,1290,500,9
1,GRILLY,1220,700,7.5
1,CESSY,1170,3700,6.39
1,ORDONNAZ,1510,100,14.88
1,VESCOURS,1560,200,12.48
1,MEILLONNAS,1370,1300,17.74
1,GEOVREISSET,1100,900,3.31
1,CEYZERIEU,1350,900,19.72
1,BEARD-GEOVREISSIAT,1460,900,4.69
1,LA BURBANCHE,1510,100,10.82
1,PERREX,1540,800,11.07
1,VILLEMOTIER,1270,600,13.86
1,JASSERON,1250,1400,18.93
1,CORVEISSIAT,1250,600,22.69
1,JOURNANS,1250,300,2.43
1,SERMOYER,1190,700,16.7
1,CHARIX,1130,300,18.27
1,ARBIGNIEU,1300,500,13.07
1,LEYSSARD,1450,200,9.13
1,SAINT-JEAN-DE-THURIGNEUX,1390,600,16
1,FRANS,1480,2000,7.98
1,TENAY,1230,1100,13.12
1,BAGE-LA-VILLE,1380,2900,39.68
1,MONTMERLE-SUR-SAONE,1090,3800,4.16
1,COURMANGOUX,1370,500,14.82
1,BANEINS,1990,600,8.91
1,LAGNIEU,1150,6700,27.25
1,ATTIGNAT,1340,2700,18.69
1,SAINT-ANDRE-DE-BAGE,1380,600,2.7
1,PONT-DE-VAUX,1190,2200,7.54
1,AMBERIEU-EN-BUGEY,1500,12800,24.6
1,PEYZIEUX-SUR-SAONE,1140,400,8.66
1,CROZET,1170,1800,27.47
1,SEYSSEL,1420,900,2.4
1,BEYNOST,1700,4300,10.64
1,VERSONNEX,1210,2100,5.89
1,SAINT-LAURENT-SUR-SAONE,1620,1700,0.53
1,ARTEMARE,1510,1100,3.75
1,MONTRACOL,1310,900,14.56
1,PARVES,1300,300,5.53
1,PUGIEU,1510,100,4.85
1,VIRIEU-LE-GRAND,1510,1100,12.55
1,SAINT-REMY,1310,800,7.38
1,RANCE,1390,600,9.53
1,GRIEGES,1290,1800,14.87
1,GRAND-CORENT,1250,100,7.13
1,OUTRIAZ,1430,300,5.91
1,MONTAGNIEU,1470,500,6.22
1,CHAMPAGNE-EN-VALROMEY,1260,700,18.16
1,AMBERIEUX-EN-DOMBES,1330,1600,15.92
1,LA BOISSE,1120,2900,9.4
1,PARCIEUX,1600,1100,3.14
1,SAINT-DIDIER-D'AUSSIAT,1340,800,15.22
1,SAINT-NIZIER-LE-BOUCHOUX,1560,700,28.3
1,ARS-SUR-FORMANS,1480,1300,5.5
